Fecha,"USDCOP Curncy PX_LAST","USDCOP Curncy PX_LOW","USDCOP Curncy PX_HIGH","USDCOP Curncy PX_OPEN","USDCOPV1W Curncy PX_LAST","USDCOPV1M Curncy PX_LAST","USDCOPV2M Curncy PX_LAST","USDCOPV3M Curncy PX_LAST","USDCOPV6M Curncy PX_LAST","USDCOPV9M Curncy PX_LAST","USDCOPV1Y Curncy PX_LAST","USDCOP25R1W Curncy PX_LAST","USDCOP25R1M Curncy PX_LAST","USDCOP25R2M Curncy PX_LAST","USDCOP25R3M Curncy PX_LAST","USDCOP25R6M Curncy PX_LAST","USDCOP25R9M Curncy PX_LAST","USDCOP25R1Y Curncy PX_LAST","USDCOP25B1W Curncy PX_LAST","USDCOP25B1M Curncy PX_LAST","USDCOP25B2M Curncy PX_LAST","USDCOP25B3M Curncy PX_LAST","USDCOP25B6M Curncy PX_LAST","USDCOP25B9M Curncy PX_LAST","USDCOP25B1Y Curncy PX_LAST","USDCOP10R1W Curncy PX_LAST","USDCOP10R1M Curncy PX_LAST","USDCOP10R2M Curncy PX_LAST","USDCOP10R3M Curncy PX_LAST","USDCOP10R6M Curncy PX_LAST","USDCOP10R9M Curncy PX_LAST","USDCOP10R1Y Curncy PX_LAST","USDCOP10B1W Curncy PX_LAST","USDCOP10B1M Curncy PX_LAST","USDCOP10B2M Curncy PX_LAST","USDCOP10B3M Curncy PX_LAST","USDCOP10B6M Curncy PX_LAST","USDCOP10B9M Curncy PX_LAST","USDCOP10B1Y Curncy PX_LAST","COP1W Curncy PX_LAST","COP1M Curncy PX_LAST","COP2M Curncy PX_LAST","COP3M Curncy PX_LAST","COP6M Curncy PX_LAST","COP9M Curncy PX_LAST","COP12M Curncy PX_LAST"
2013-05-31,1902.48,1891.85,1919.61,1892,8.5875,10.295,10.27,10.2525,10.265,10.2925,10.325,2.47,2.18,2.39,2.6,2.9925,3.605,3.9875,0.5925,0.545,0.595,0.73,0.855,0.99,1.095,3.49,3.7,4.175,4.9,5.36,5.8525,6.3375,1.845,2.01,2.26,2.51,2.72,2.845,3.07,1.28,5.44,10.75,16.5,32.41,48.75,64.5
2013-06-03,1902.5,1900.85,1905.7,1902.5,8.905,10.365,10.2875,10.2675,10.25,10.2625,10.295,2.405,2.075,2.445,2.6225,2.98,3.56,3.935,0.49,0.4925,0.5425,0.6625,0.78,0.89,0.99,3.41,3.6725,4.0675,4.755,5.405,5.9525,6.52,1.985,1.83,2.0475,2.3175,2.55,2.67,2.8725,1.28,5.5,10.75,16.5,32.25,48.75,64.5
2013-06-04,1894.05,1891.6,1904.69,1904,9.205,9.6725,9.705,9.715,9.675,9.625,9.5375,1.6325,2.2175,2.5475,2.895,3.355,3.785,4.1975,0.5125,0.5225,0.5975,0.715,0.875,0.93,1.025,2.3325,3.37,3.9425,4.5975,5.565,6.2,6.8075,2.1325,1.995,2.28,2.63,2.86,3.03,3.2025,1.04,4.86,10,15.75,31.43,48.63,63.63
2013-06-05,1899.85,1886.93,1903.47,1892.89,8.97,9.91,9.86,9.84,9.8225,9.785,9.755,1.5775,2.2175,2.455,2.6825,3.1375,3.645,4.08,0.505,0.4825,0.5725,0.6925,0.83,0.9425,1.05,2.2225,3.785,4.2725,4.83,5.5625,6.2425,6.9325,2.1225,2,2.3525,2.715,3.045,3.19,3.375,1.07,4.8,10.25,15.5,30.57,46.75,63.25
2013-06-06,1904.58,1899.8,1914.6,1899.8,9.435,10.01,9.94,9.845,9.7075,9.785,9.86,0.985,2.505,2.6475,2.8375,3.3575,3.7575,4.24,0.42,0.43,0.5325,0.6475,0.775,0.8625,0.9725,1.385,4.0975,4.45,4.78,5.725,6.5175,7.36,2.32,1.85,2.15,2.605,3.055,3.205,3.36,1.23,5.36,10.5,15.75,31.24,47.25,63.75
2013-06-07,1892,1891.6,1908.29,1906.38,9.6175,9.855,9.8675,9.84,9.84,9.8875,9.88,1.5825,2.3675,2.555,2.7475,3.2025,3.7025,4.1425,0.5,0.4975,0.575,0.7,0.8375,0.9475,1.0575,2.2275,4.0575,4.4525,4.9425,5.675,6.3425,7.045,2.14,1.995,2.33,2.715,3.045,3.1875,3.375,1.23,5.37,10.5,16,31.5,47.25,63.25
2013-06-10,1892.1,1891.68,1896.75,1896.75,9.975,9.9625,9.9075,9.875,9.86,9.8775,9.89,0.97,2.4725,2.68,2.855,3.335,3.77,4.2375,0.42,0.445,0.5425,0.66,0.7975,0.8925,1.0075,1.365,4.2375,4.57,4.9,5.825,6.6175,7.46,2.33,1.9375,2.3175,2.785,3.185,3.3375,3.5,1.23,5.37,10.5,16,31.5,47.25,63.25
2013-06-11,1904.76,1902.72,1914.63,1912.85,10.1875,10.3875,10.3425,10.3,10.25,10.2575,10.255,1.5925,2.3925,2.62,2.8775,3.3175,3.7875,4.1875,0.51,0.4825,0.565,0.6875,0.8225,0.9275,1.0275,2.2575,3.99,4.4525,5.025,5.7775,6.3825,6.9975,2.1025,1.8725,2.1975,2.615,2.94,3.09,3.2825,1.09,5,10.25,15.5,31.14,46.5,62.5
2013-06-12,1897.73,1891.9,1902.75,1898.55,10.64,10.015,9.9775,9.99,10,10.0225,10.025,0.97,2.4825,2.7375,2.9825,3.4775,3.8425,4.2375,0.42,0.4475,0.5625,0.675,0.8225,0.915,1.02,1.37,4.2925,4.7825,5.235,6.145,6.8225,7.51,2.315,1.965,2.3775,2.8275,3.235,3.4025,3.575,1.13,5,10.4,16,31.43,47,63
2013-06-13,1891.7,1886.1,1903.2,1898.5,10.115,9.865,9.8775,9.8675,9.8625,9.865,9.81,0.965,2.4825,2.7425,2.9825,3.48,3.845,4.2375,0.425,0.45,0.565,0.68,0.8275,0.9175,1.0225,1.355,4.2875,4.7875,5.23,6.1425,6.8175,7.51,2.335,1.975,2.39,2.83,3.2325,3.3975,3.565,1.23,5.29,11,16.25,31.94,47.5,63.25
