Fecha,"USDMXN Curncy PX_LAST","USDMXN Curncy PX_LOW","USDMXN Curncy PX_HIGH","USDMXN Curncy PX_OPEN","USDMXNV1W Curncy PX_LAST","USDMXNV1M Curncy PX_LAST","USDMXNV2M Curncy PX_LAST","USDMXNV3M Curncy PX_LAST","USDMXNV6M Curncy PX_LAST","USDMXNV9M Curncy PX_LAST","USDMXNV1Y Curncy PX_LAST","USDMXN25R1W Curncy PX_LAST","USDMXN25R1M Curncy PX_LAST","USDMXN25R2M Curncy PX_LAST","USDMXN25R3M Curncy PX_LAST","USDMXN25R6M Curncy PX_LAST","USDMXN25R9M Curncy PX_LAST","USDMXN25R1Y Curncy PX_LAST","USDMXN25B1W Curncy PX_LAST","USDMXN25B1M Curncy PX_LAST","USDMXN25B2M Curncy PX_LAST","USDMXN25B3M Curncy PX_LAST","USDMXN25B6M Curncy PX_LAST","USDMXN25B9M Curncy PX_LAST","USDMXN25B1Y Curncy PX_LAST","USDMXN10R1W Curncy PX_LAST","USDMXN10R1M Curncy PX_LAST","USDMXN10R2M Curncy PX_LAST","USDMXN10R3M Curncy PX_LAST","USDMXN10R6M Curncy PX_LAST","USDMXN10R9M Curncy PX_LAST","USDMXN10R1Y Curncy PX_LAST","USDMXN10B1W Curncy PX_LAST","USDMXN10B1M Curncy PX_LAST","USDMXN10B2M Curncy PX_LAST","USDMXN10B3M Curncy PX_LAST","USDMXN10B6M Curncy PX_LAST","USDMXN10B9M Curncy PX_LAST","USDMXN10B1Y Curncy PX_LAST","MXN1W Curncy PX_LAST","MXN1M Curncy PX_LAST","MXN2M Curncy PX_LAST","MXN3M Curncy PX_LAST","MXN6M Curncy PX_LAST","MXN9M Curncy PX_LAST","MXN12M Curncy PX_LAST"
2010-03-04,12.7119,12.6872,12.7348,12.6949,8.335,9.975,10.64,11.28,12.065,12.355,12.675,1.6725,1.9175,2.445,2.8075,3.4875,3.785,4.0325,0.3,0.41,0.48,0.585,0.74,0.81,0.89,3.1875,3.8125,4.8775,5.5375,6.7425,7.2875,7.7625,1.15,1.455,1.745,2.12,2.485,2.7,2.93,86.25,410,872.5,1295,2752.5,4355,6143.99
2010-03-05,12.6308,12.6211,12.7255,12.7119,8.145,9.627,9.97,10.595,11.7,12.15,12.56,1.3925,1.8775,2.3925,2.7575,3.3325,3.68,3.81,0.295,0.4075,0.48,0.565,0.74,0.8225,0.8925,2.845,3.9225,5.095,5.64,6.7325,7.0975,7.5125,1.195,1.5375,1.82,2.1575,2.5225,2.76,2.99,78.25,410,865,1317.5,2792.5,4400,6127.71
2010-03-08,12.6808,12.6024,12.6925,12.655,8.435,9.9,10.593,11.185,12.26,12.61,12.852,1.3925,1.8675,2.44,2.815,3.4175,3.6675,3.92,0.285,0.4075,0.475,0.5475,0.715,0.78,0.8575,2.67,3.5925,4.8,5.385,6.615,7.12,7.595,1.03,1.405,1.645,2,2.36,2.57,2.8175,70.75,403,822.5,1282.5,2710,4320,5925
2010-03-09,12.6208,12.617,12.7036,12.6808,8.77,9.847,10.337,10.745,11.695,12.085,12.41,1.515,1.945,2.58,2.9125,3.4275,3.66,3.88,0.35,0.415,0.5025,0.59,0.725,0.8175,0.905,2.765,3.8775,5.08,5.685,6.6775,7.09,7.57,1.095,1.255,1.5125,1.805,2.165,2.405,2.67,70.25,377,791.25,1241.25,2697.5,4315,6035.59
2010-03-10,12.5944,12.5888,12.6454,12.6208,8.635,9.715,9.905,10.25,11.308,11.89,12.17,1.4825,1.84,2.42,2.83,3.38,3.5575,3.7675,0.345,0.415,0.485,0.55,0.705,0.7675,0.84,2.745,3.585,4.7525,5.41,6.5225,6.94,7.3725,1.135,1.425,1.635,1.885,2.31,2.495,2.7225,84.75,400,820,1290,2705,4325,6047.5
2010-03-11,12.5651,12.5616,12.6395,12.5941,9.015,9.875,10.135,10.425,11.445,12.06,12.305,1.4175,1.895,2.425,2.8175,3.3125,3.48,3.6875,0.285,0.41,0.48,0.545,0.705,0.7725,0.84,2.7225,3.76,4.89,5.4875,6.525,6.9,7.35,1.035,1.43,1.65,1.915,2.35,2.555,2.755,93,414,835,1260,2690,4250,5855
2010-03-12,12.5322,12.5242,12.585,12.5651,8.995,9.505,9.705,9.975,10.85,11.52,11.895,1.555,1.9325,2.58,2.8775,3.36,3.5225,3.7325,0.355,0.415,0.485,0.565,0.725,0.8075,0.885,2.8675,3.7075,4.9225,5.52,6.4325,6.7675,7.22,1.11,1.275,1.485,1.77,2.175,2.4025,2.62,89,403.75,795,1230,2610,4155,5898.73
2010-03-15,12.5424,12.512,12.5841,12.5384,9.085,9.655,10.05,10.465,11.46,12.1075,12.44,1.4425,1.9075,2.455,2.84,3.335,3.5175,3.745,0.32,0.405,0.47,0.535,0.685,0.755,0.82,2.7575,3.585,4.7225,5.31,6.35,6.86,7.315,1.03,1.3925,1.615,1.885,2.295,2.5,2.685,89.75,405,796.25,1227.5,2605,4165,6029.61
2010-03-16,12.5282,12.5117,12.5572,12.5424,8.78,9.467,9.995,10.4,11.45,11.995,12.497,1.465,1.87,2.42,2.8,3.26,3.3675,3.5,0.325,0.4025,0.48,0.5475,0.7,0.765,0.8325,2.7025,3.65,4.8025,5.3925,6.3575,6.695,7.0475,1.08,1.3925,1.625,1.8975,2.33,2.53,2.7475,89.25,392,792.5,1220,2617.5,4162.5,5913.45
2010-03-17,12.4553,12.4367,12.5309,12.5282,8.595,9.257,9.62,9.975,10.983,11.635,11.97,1.4525,1.8975,2.3625,2.8025,3.2425,3.36,3.4925,0.3,0.3975,0.47,0.53,0.6825,0.745,0.805,2.76,3.5975,4.59,5.29,6.2525,6.6775,7.0425,1.055,1.3875,1.61,1.875,2.3125,2.505,2.705,85.75,385,785,1240,2595,4151.25,5855.96
