Fecha,"EURMXN Curncy PX_LAST","EURMXN Curncy PX_LOW","EURMXN Curncy PX_HIGH","EURMXN Curncy PX_OPEN","EURMXNV1W Curncy PX_LAST","EURMXNV1M Curncy PX_LAST","EURMXNV2M Curncy PX_LAST","EURMXNV3M Curncy PX_LAST","EURMXNV6M Curncy PX_LAST","EURMXNV9M Curncy PX_LAST","EURMXNV1Y Curncy PX_LAST","EURMXN25R1W Curncy PX_LAST","EURMXN25R1M Curncy PX_LAST","EURMXN25R2M Curncy PX_LAST","EURMXN25R3M Curncy PX_LAST","EURMXN25R6M Curncy PX_LAST","EURMXN25R9M Curncy PX_LAST","EURMXN25R1Y Curncy PX_LAST","EURMXN25B1W Curncy PX_LAST","EURMXN25B1M Curncy PX_LAST","EURMXN25B2M Curncy PX_LAST","EURMXN25B3M Curncy PX_LAST","EURMXN25B6M Curncy PX_LAST","EURMXN25B9M Curncy PX_LAST","EURMXN25B1Y Curncy PX_LAST","EURMXN10R1W Curncy PX_LAST","EURMXN10R1M Curncy PX_LAST","EURMXN10R2M Curncy PX_LAST","EURMXN10R3M Curncy PX_LAST","EURMXN10R6M Curncy PX_LAST","EURMXN10R9M Curncy PX_LAST","EURMXN10R1Y Curncy PX_LAST","EURMXN10B1W Curncy PX_LAST","EURMXN10B1M Curncy PX_LAST","EURMXN10B2M Curncy PX_LAST","EURMXN10B3M Curncy PX_LAST","EURMXN10B6M Curncy PX_LAST","EURMXN10B9M Curncy PX_LAST","EURMXN10B1Y Curncy PX_LAST","EURMXN1W Curncy PX_LAST","EURMXN1M Curncy PX_LAST","EURMXN2M Curncy PX_LAST","EURMXN3M Curncy PX_LAST","EURMXN6M Curncy PX_LAST","EURMXN9M Curncy PX_LAST","EURMXN12M Curncy PX_LAST"
2010-02-12,17.6391,17.5939,17.7393,17.7269,12.045,12.075,12.427,12.705,13.177,13.6225,14.045,1.44,2.8975,3.44,4.095,4.965,5,5.1175,0.53,0.6475,0.7575,0.895,1.005,1.0975,1.195,2.52,5.3325,6.37,7.5925,9.2325,9.3325,9.4675,1.575,1.875,2.2925,2.685,2.895,3.1225,3.3125,142.3252,562.0916,1237.6837,1856.747,3855.7988,5945.8523,8076.5517
2010-02-15,17.591,17.5539,17.6676,17.6193,11.87,12.035,12.443,12.69,13.138,13.595,14.025,1.44,2.8975,3.44,4.095,4.965,5,5.1175,0.53,0.6475,0.7575,0.895,1.0025,1.0975,1.195,2.52,5.3325,6.37,7.5925,9.2325,9.3325,9.4675,1.575,1.875,2.2925,2.685,2.895,3.1225,3.31,143.0833,577.6945,1231.9514,1851.6762,3859.1443,5937.2781,8332.1377
2010-02-16,17.6828,17.5685,17.7126,17.591,11.825,11.94,12.368,12.64,13.038,13.5025,13.938,1.44,2.8575,3.44,4.095,4.965,5,5.1175,0.53,0.645,0.755,0.895,1.0025,1.095,1.195,2.52,5.2625,6.37,7.5925,9.2325,9.335,9.4675,1.58,1.87,2.2925,2.685,2.8925,3.1225,3.31,134.4735,548.7408,1224.803,1853.73,3858.4529,5958.737,8198.8779
2010-02-17,17.5165,17.4764,17.7367,17.6828,11.73,11.98,12.408,12.625,13.118,13.5475,13.958,1.44,2.645,3.255,3.8575,4.785,4.8225,4.9375,0.515,0.64,0.7525,0.8875,0.9975,1.085,1.18,2.52,4.8675,6.03,7.1525,8.9025,9.005,9.135,1.53,1.86,2.29,2.675,2.8925,3.105,3.285,127.8005,542.226,1174.3506,1813.3969,3812.9843,5915.1355,8350.6221
2010-02-18,17.4152,17.3963,17.5479,17.5358,11.71,11.91,12.262,12.565,13.065,13.5175,13.945,1.44,2.5825,3.035,3.765,4.785,4.825,4.9375,0.515,0.63,0.7375,0.8775,0.995,1.0825,1.18,2.52,4.7525,5.62,6.975,8.9025,9.005,9.135,1.525,1.8375,2.2525,2.6475,2.8825,3.0975,3.28,132.5568,548.2498,1183.4212,1861.2605,3813.0593,5924.6706,8418.4463
2010-02-19,17.42,17.3348,17.4559,17.4152,10.55,11.605,12.08,12.337,12.907,13.3525,13.778,1.405,2.5825,3.01,3.74,4.6675,4.705,4.82,0.435,0.6075,0.7175,0.855,0.97,1.0575,1.1525,2.455,4.7525,5.575,6.9325,8.6825,8.785,8.915,1.29,1.765,2.1875,2.575,2.8125,3.0325,3.215,135.5511,560.2377,1210.5344,1878.2991,3861.5852,5916.1159,8269.4697
2010-02-22,17.4152,17.367,17.4785,17.4561,10.565,11.38,11.99,12.345,12.868,13.2925,13.703,1.38,2.455,2.91,3.645,4.6675,4.705,4.82,0.455,0.595,0.7125,0.855,0.9675,1.0525,1.15,2.4125,4.5225,5.39,6.755,8.6825,8.785,8.9175,1.355,1.74,2.18,2.585,2.8075,3.0225,3.2,131.3684,549.6075,1223.7422,1832.5276,3838.2019,5912.3171,8101.8408
2010-02-23,17.4669,17.3651,17.5006,17.4152,10.765,11.045,11.677,12.01,12.725,13.0625,13.415,1.74,2.6075,3.01,3.56,4.61,4.795,5.0575,0.455,0.56,0.68,0.81,0.9525,1.0425,1.145,3.045,4.7975,5.575,6.6025,8.5725,8.95,9.3575,1.345,1.625,2.0725,2.4375,2.7625,2.9825,3.1675,127.2664,545.3864,1200.7788,1819.359,3811.177,5932.78,8177.0947
2010-02-24,17.3354,17.3289,17.5133,17.4669,10.41,10.835,11.358,11.805,12.427,12.845,13.248,1.885,2.6825,3.01,3.56,4.61,4.795,5.0575,0.425,0.55,0.655,0.79,0.92,1.0225,1.1275,3.295,4.9375,5.575,6.6025,8.5725,8.95,9.355,1.255,1.595,1.9975,2.38,2.6675,2.915,3.12,130.7301,650.6108,1260.6142,1885.9678,3970.9741,6070.6023,8400.7451
2010-02-25,17.3479,17.2814,17.3966,17.3354,10.398,10.745,11.458,11.885,12.548,12.9575,13.358,2.34,2.985,3.3525,3.68,4.61,4.825,5.1175,0.335,0.4375,0.5575,0.745,0.8975,0.9975,1.12,4.095,5.495,6.21,6.82,8.5725,9.005,9.465,1.03,1.3,1.6525,2.085,2.435,2.7075,2.9425,129.3444,698.0969,1256.0778,1880.0387,3903.4292,5987.3796,8297.999
