Fecha,"EURUSD Curncy PX_LAST","EURUSD Curncy PX_LOW","EURUSD Curncy PX_HIGH","EURUSD Curncy PX_OPEN","EURUSDV1W Curncy PX_LAST","EURUSDV1M Curncy PX_LAST","EURUSDV2M Curncy PX_LAST","EURUSDV3M Curncy PX_LAST","EURUSDV6M Curncy PX_LAST","EURUSDV9M Curncy PX_LAST","EURUSDV1Y Curncy PX_LAST","EURUSD25R1W Curncy PX_LAST","EURUSD25R1M Curncy PX_LAST","EURUSD25R2M Curncy PX_LAST","EURUSD25R3M Curncy PX_LAST","EURUSD25R6M Curncy PX_LAST","EURUSD25R9M Curncy PX_LAST","EURUSD25R1Y Curncy PX_LAST","EURUSD25B1W Curncy PX_LAST","EURUSD25B1M Curncy PX_LAST","EURUSD25B2M Curncy PX_LAST","EURUSD25B3M Curncy PX_LAST","EURUSD25B6M Curncy PX_LAST","EURUSD25B9M Curncy PX_LAST","EURUSD25B1Y Curncy PX_LAST","EURUSD10R1W Curncy PX_LAST","EURUSD10R1M Curncy PX_LAST","EURUSD10R2M Curncy PX_LAST","EURUSD10R3M Curncy PX_LAST","EURUSD10R6M Curncy PX_LAST","EURUSD10R9M Curncy PX_LAST","EURUSD10R1Y Curncy PX_LAST","EURUSD10B1W Curncy PX_LAST","EURUSD10B1M Curncy PX_LAST","EURUSD10B2M Curncy PX_LAST","EURUSD10B3M Curncy PX_LAST","EURUSD10B6M Curncy PX_LAST","EURUSD10B9M Curncy PX_LAST","EURUSD10B1Y Curncy PX_LAST","EUR1W Curncy PX_LAST","EUR1M Curncy PX_LAST","EUR2M Curncy PX_LAST","EUR3M Curncy PX_LAST","EUR6M Curncy PX_LAST","EUR9M Curncy PX_LAST","EUR12M Curncy PX_LAST"
2012-01-04,1.2943,1.2898,1.3073,1.305,11.38,12.7625,13.475,13.975,14.4075,14.575,14.68,-0.3,-1.275,-1.925,-2.435,-2.83,-3.0675,-3.2625,0.2425,0.3075,0.375,0.46,0.5525,0.6075,0.645,-0.405,-2.495,-3.445,-4.4875,-5.3625,-5.8625,-6.2475,0.8425,0.95,1.185,1.4575,1.8125,1.9875,2.1075,0.16,1.72,5.28,10.42,25.69,47.2,69.38
2012-01-05,1.2789,1.2771,1.2947,1.2943,12.5425,12.92,13.5825,14.0075,14.5175,14.685,14.78,-0.4625,-1.365,-1.97,-2.4475,-2.8,-2.9975,-3.185,0.2475,0.2675,0.3425,0.43,0.5075,0.55,0.5875,-0.78,-2.4575,-3.59,-4.5775,-5.3325,-5.7575,-6.1325,0.8175,0.8725,1.11,1.4275,1.7475,1.8925,2.0425,0.13,1.57,5.38,10.97,28.25,50.02,73.6
2012-01-06,1.2717,1.2698,1.2813,1.2789,11.3575,12.4625,13.195,13.6725,14.35,14.55,14.675,-0.39,-1.305,-1.9275,-2.455,-2.83,-3.06,-3.255,0.2475,0.3075,0.38,0.4575,0.5575,0.62,0.66,-0.7175,-2.475,-3.4375,-4.4975,-5.3625,-5.8225,-6.21,0.765,0.94,1.1975,1.4325,1.8325,2.0125,2.1575,0.11,1.31,4.45,9,23.86,43.29,63.6
2012-01-09,1.2765,1.2666,1.2786,1.2705,10.55,12.065,12.5975,12.955,13.6575,13.93,14.125,-0.3325,-1.055,-1.7625,-2.285,-2.6275,-2.8625,-3.0425,0.2475,0.2625,0.34,0.42,0.505,0.545,0.5875,-0.55,-1.8975,-3.2,-4.2775,-5.005,-5.4775,-5.8325,0.82,0.8575,1.115,1.4,1.7625,1.91,2.09,0.13,1.27,4.25,8.5,22.23,39.19,58.95
2012-01-10,1.2778,1.2743,1.2818,1.2765,10.1025,11.495,12.0625,12.5525,13.3425,13.665,13.81,-0.0125,-0.705,-1.4175,-1.82,-2.17,-2.4075,-2.65,0.27,0.255,0.33,0.3975,0.4775,0.515,0.5525,-0.0125,-1.2875,-2.61,-3.4475,-4.195,-4.7075,-5.1775,0.8625,0.825,1.08,1.3425,1.655,1.795,1.9425,0.15,1.21,3.48,6.88,18.15,33.5,50.33
2012-01-11,1.2707,1.2662,1.279,1.2778,11.185,12.1375,12.59,12.8125,13.465,13.745,13.89,-0.2325,-0.7725,-1.355,-1.7475,-2.1775,-2.4325,-2.645,0.325,0.2625,0.345,0.4075,0.51,0.56,0.6,-0.4875,-1.365,-2.46,-3.2625,-4.1625,-4.6925,-5.1375,0.7825,0.8325,1.1175,1.3575,1.71,1.8725,2.0225,0.13,1.09,3.09,6.02,16.06,30.54,45.68
2012-01-12,1.2814,1.2699,1.2845,1.2707,10.995,11.705,12.255,12.4975,13.075,13.3375,13.535,-0.5175,-0.745,-1.25,-1.585,-1.9325,-2.165,-2.365,0.25,0.265,0.325,0.3725,0.4575,0.515,0.525,-0.9575,-1.325,-2.25,-2.9375,-3.6525,-3.97,-4.485,0.785,0.8625,1.125,1.3625,1.69,1.8475,1.975,0.06,0.96,2.64,4.7,13.65,26.77,41.21
2012-01-13,1.268,1.2624,1.2879,1.2814,12.095,12.0825,12.4825,12.68,13.12,13.32,13.44,-0.3775,-0.835,-1.305,-1.6375,-1.935,-2.13,-2.305,0.255,0.2725,0.345,0.3925,0.475,0.5125,0.54,-0.705,-1.51,-2.3925,-3.07,-3.735,-4.1525,-4.49,0.7925,0.8375,1.1475,1.3475,1.6775,1.8225,1.94,0.08,0.91,3.07,5.85,17.38,32.2,49.04
2012-01-16,1.2667,1.2626,1.2688,1.2642,11.125,12.235,12.5,12.6075,13.0775,13.365,13.515,-0.3475,-0.875,-1.315,-1.645,-1.94,-2.14,-2.325,0.2875,0.2525,0.3425,0.3875,0.4675,0.5025,0.5275,-0.61,-1.5575,-2.3625,-3.0325,-3.675,-4.0925,-4.4225,0.875,0.78,1.1425,1.345,1.6675,1.8075,1.9225,0.1,1.2,3.17,6.23,17.32,32.64,48.68
2012-01-17,1.2736,1.2649,1.2809,1.2667,11.04,12.0575,12.3075,12.5175,12.965,13.315,13.505,-0.2525,-0.79,-1.1775,-1.5425,-1.84,-2.035,-2.175,0.26,0.245,0.335,0.38,0.465,0.505,0.53,-0.4525,-1.44,-2.165,-2.9125,-3.5575,-3.975,-4.25,0.8,0.7725,1.11,1.3025,1.6375,1.79,1.9075,0.1,0.9,2.31,4.67,14.82,28.61,44.55
